,Sami,id,Laura
2022-07-27,5.0,156,
2022-07-28,2.0,157,
2022-07-30,2.0,159,4.0
2022-07-31,7.0,160,7.0
2022-08-01,5.0,161,5.0
2022-08-02,6.0,162,6.0
2022-08-03,5.0,163,7.0
2022-08-04,3.0,164,5.0
2022-08-05,2.0,165,2.0
2022-08-06,5.0,166,4.0
2022-08-07,4.0,167,7.0
2022-08-08,4.0,168,2.0
2022-08-09,6.0,169,4.0
2022-08-10,7.0,170,7.0
2022-08-11,3.0,171,7.0
2022-08-12,2.0,172,7.0
2022-08-13,4.0,173,
2022-08-14,6.0,174,3.0
2022-08-15,4.0,175,2.0
2022-08-16,5.0,176,4.0
2022-08-17,7.0,177,2.0
2022-08-18,2.0,178,2.0
2022-08-19,5.0,179,3.0
2022-08-20,,180,6.0
2022-08-21,5.0,181,
2022-08-22,6.0,182,3.0
2022-08-23,4.0,183,2.0
2022-08-24,4.0,184,2.0
2022-08-25,2.0,185,2.0
2022-08-26,3.0,186,4.0
2022-08-27,2.0,187,2.0
2022-08-28,3.0,188,4.0
2022-08-29,7.0,189,3.0
2022-08-30,3.0,190,
2022-08-31,3.0,191,5.0
2022-09-01,4.0,192,5.0
2022-09-02,5.0,193,3.0
2022-09-03,7.0,194,2.0
2022-09-04,,195,2.0
2022-09-05,4.0,196,3.0
2022-09-06,2.0,197,
2022-09-07,4.0,198,2.0
2022-09-09,2.0,200,
2022-09-15,3.0,206,
2022-09-16,2.0,207,
2022-09-17,2.0,208,2.0
2022-09-18,4.0,209,2.0
2022-09-19,2.0,210,1.0
2022-09-20,5.0,211,3.0
2022-09-21,2.0,212,6.0
2022-09-22,3.0,213,2.0
2022-09-23,4.0,214,2.0
2022-09-24,2.0,215,
2022-09-25,2.0,216,2.0
2022-09-26,3.0,217,
2022-09-27,6.0,218,7.0
2022-09-28,,219,2.0
2022-09-29,1.0,220,2.0
2022-09-30,2.0,221,3.0
2022-10-01,3.0,222,3.0
2022-10-02,7.0,223,6.0
2022-10-03,6.0,224,7.0
2022-10-04,4.0,225,6.0
2022-10-05,3.0,226,7.0
2022-10-06,4.0,227,5.0
2022-10-07,7.0,228,3.0
2022-10-08,7.0,229,3.0
2022-10-09,4.0,230,6.0
2022-10-10,3.0,231,5.0
2022-10-11,2.0,232,3.0
2022-10-12,4.0,233,7.0
2022-10-13,2.0,234,4.0
2022-10-14,5.0,235,2.0
2022-10-15,,236,3.0
2022-10-16,3.0,237,4.0
2022-10-17,6.0,238,7.0
2022-10-18,2.0,239,3.0
2022-10-19,3.0,240,2.0
2022-10-20,4.0,241,2.0
2022-10-21,3.0,242,2.0
2022-10-22,2.0,243,2.0
2022-10-23,2.0,244,2.0
2022-10-24,4.0,245,2.0
2022-10-25,3.0,246,3.0
2022-10-26,6.0,247,3.0
2022-10-27,4.0,248,3.0
2022-10-28,7.0,249,1.0
2022-10-29,3.0,250,5.0
2022-10-30,3.0,251,4.0
2022-10-31,3.0,252,
