,Sami,id,Laura
2022-02-01,,227,3.0
2022-02-02,,228,4.0
2022-02-03,,229,4.0
2022-02-04,,230,5.0
2022-02-05,,231,5.0
2022-02-06,,232,3.0
2022-02-07,,233,5.0
2022-02-08,,234,4.0
2022-02-09,,235,2.0
2022-02-10,,236,2.0
2022-02-11,,237,6.0
2022-02-12,,238,4.0
2022-02-13,,239,4.0
2022-02-14,,240,4.0
2022-02-15,,241,4.0
2022-02-16,,242,4.0
2022-02-17,,243,6.0
2022-02-18,,244,5.0
2022-02-19,5.0,245,4.0
2022-02-20,,246,4.0
2022-02-21,2.0,247,3.0
2022-02-22,2.0,248,2.0
2022-02-23,,249,4.0
2022-02-24,5.0,250,3.0
2022-02-25,,251,4.0
2022-02-26,,252,4.0
2022-02-27,,253,3.0
2022-02-28,,254,3.0
2022-03-01,4.0,255,4.0
2022-03-02,5.0,256,4.0
2022-03-03,2.0,257,3.0
2022-03-04,5.0,258,4.0
2022-03-05,,259,3.0
2022-03-06,3.0,260,3.0
2022-03-07,4.0,261,3.0
2022-03-08,4.0,262,5.0
2022-03-09,,263,3.0
2022-03-10,3.0,264,3.0
2022-03-11,,265,4.0
2022-03-12,3.0,266,5.0
2022-03-13,,267,4.0
2022-03-14,,268,4.0
2022-03-15,2.0,269,2.0
2022-03-16,5.0,270,6.0
2022-03-17,,271,4.0
2022-03-18,3.0,272,2.0
2022-03-19,5.0,273,5.0
2022-03-20,,274,3.0
2022-03-21,,275,3.0
2022-03-22,,276,5.0
2022-03-23,3.0,277,4.0
2022-03-24,3.0,278,3.0
2022-03-25,,279,4.0
2022-03-26,4.0,280,5.0
2022-03-27,,281,3.0
2022-03-28,5.0,282,4.0
2022-03-29,4.0,283,4.0
2022-03-30,,284,5.0
2022-03-31,6.0,285,6.0
2022-04-01,,286,4.0
2022-04-02,,287,2.0
2022-04-03,6.0,288,6.0
2022-04-04,4.0,289,3.0
2022-04-05,,290,4.0
2022-04-06,4.0,291,3.0
2022-04-07,4.0,292,
2022-04-08,,293,3.0
2022-04-09,2.0,294,2.0
2022-04-10,4.0,295,4.0
2022-04-11,3.0,296,3.0
